issue_id,status,owner,wave,pr_link,failing_test,fix_commit,verification_evidence
ISSUE-001,FIXED_PRE,,,,,,
ISSUE-002,FIXED_PRE,,,,,,
ISSUE-003,FIXED_PRE,,,,,,
ISSUE-004,FIXED_PRE,,,,,,
ISSUE-005,FIXED_PRE,,,,,,
ISSUE-006,FIXED_PRE,,,,,,
ISSUE-007,FIXED_PRE,,,,,,
ISSUE-008,FIXED_PRE,,,,,,
ISSUE-009,FIXED_PRE,,,,,,
ISSUE-010,FIXED_PRE,,,,,,
ISSUE-011,FIXED_PRE,,,,,,
ISSUE-012,DONE,,,,,,
ISSUE-013,FIXED_PRE,,,,,,
ISSUE-014,FIXED_PRE,,,,,,
ISSUE-015,FIXED_PRE,,,,,,
ISSUE-016,FIXED_PRE,,,,,,
ISSUE-017,DONE,,,,,,
ISSUE-018,DONE,,,,,,
ISSUE-019,FIXED_PRE,,,,,,
ISSUE-020,FIXED_PRE,,,,,,
ISSUE-021,DONE,,,,,,
ISSUE-022,DONE,,,,,,
ISSUE-023,DONE,,,,,,
ISSUE-024,FIXED_PRE,,,,,,
ISSUE-025,FIXED_PRE,,,,,,
ISSUE-026,FIXED_PRE,,,,,,
ISSUE-027,FIXED_PRE,,,,,,
ISSUE-028,DONE,,,,,,
ISSUE-029,DONE,,,,,,
ISSUE-030,FIXED_PRE,,,,,,
ISSUE-031,FIXED_PRE,,,,,,
ISSUE-032,FIXED_PRE,,,,,,
ISSUE-033,DONE,,,,,,
ISSUE-034,DONE,,,,,,
ISSUE-035,DONE,,,,,,
ISSUE-036,FIXED_PRE,,,,,,
ISSUE-037,OPEN,,,,,,
ISSUE-038,FIXED_PRE,,,,,,
ISSUE-039,FALSE_ALARM,,,,,,
ISSUE-040,OPEN,,,,,,
ISSUE-041,FALSE_ALARM,,,,,,
ISSUE-042,DONE,,,,,,
ISSUE-043,FALSE_ALARM,,,,,,
ISSUE-044,DONE,,,,,,
ISSUE-045,DONE,,,,,,
ISSUE-046,FALSE_ALARM,,,,,,
ISSUE-047,DONE,,,,,,
ISSUE-048,FIXED_PRE,,,,,,
ISSUE-049,DONE,,,,,,
ISSUE-050,DONE,,,,,,
ISSUE-051,FALSE_ALARM,,,,,,
ISSUE-052,DONE,,,,,,
ISSUE-053,FALSE_ALARM,,,,,,
ISSUE-054,DONE,,,,,,
ISSUE-055,DONE,,,,,,
ISSUE-056,DONE,,,,,,
ISSUE-057,DONE,,,,,,
ISSUE-058,OPEN,,,,,,
ISSUE-059,OPEN,,,,,,
ISSUE-060,OPEN,,,,,,
ISSUE-061,FIXED_PRE,,,,,,
ISSUE-062,OPEN,,,,,,
ISSUE-063,FIXED_PRE,,,,,,
ISSUE-064,DONE,,,,,,
ISSUE-065,OPEN,,,,,,
ISSUE-066,DONE,,,,,,Wave 4+5 completed (Task #21); fixed in prior remediation sessions
ISSUE-067,OPEN,,,,,,
ISSUE-068,FIXED_PRE,,,,,,
ISSUE-069,FIXED_PRE,,,,,,
ISSUE-070,DONE,,,,,,
ISSUE-071,DONE,codex-security,wave1-security,,,,Wave 1E completed (Task #18); npm audit findings tracked via Dependabot PRs
ISSUE-072,DONE,codex-security,wave1-security,,,,
ISSUE-073,DONE,codex-security,wave1-security,,,fd00c00,Session 88: all stale git worktrees removed; 15 stale branches deleted
ISSUE-074,DONE,codex-security,wave1-security,,,,
ISSUE-075,OPEN,codex-security,wave1-security,https://github.com/khill1269/servalsheets/issues/38,,,
ISSUE-076,OPEN,,,,,,
ISSUE-077,OPEN,,,,,,
ISSUE-078,OPEN,,,,,,
ISSUE-079,OPEN,,,,,,
ISSUE-240,DONE,codex-protocol,mcp-audit-2026-03,,,dcb5d43,Decision: maintain 2025-11-25 as long-term compatibility boundary. Protocol version pinned in src/constants/protocol.ts and re-exported via src/version.ts:14. Upgrade will be a deliberate breaking-change release when Anthropic ships a newer stable spec.
ISSUE-241,FIXED_PRE,codex-protocol,mcp-audit-2026-03,,,,"Implemented session-scoped resources/subscribe and resources/unsubscribe handlers, enabled notifications/resources/updated emission, and updated discovery metadata to advertise resources.subscriptions=true."
ISSUE-242,FIXED_PRE,codex-protocol,mcp-audit-2026-03,,,,Refreshed coordinator/compliance audit artifacts to match the verified runtime resource-subscription surface and current tool/action counts.
ISSUE-080,FIXED_PRE,,,,,,
ISSUE-081,FALSE_ALARM,,,,,,
ISSUE-082,OPEN,,,,,,
ISSUE-083,FIXED_PRE,,,,,,
ISSUE-084,FALSE_ALARM,,,,,,
ISSUE-085,DONE,,,,,,Wave 6 completed (Task #22); fixed in prior remediation sessions
ISSUE-086,OPEN,,,https://github.com/khill1269/servalsheets/issues/39,,,
ISSUE-087,FIXED_PRE,,,,,,
ISSUE-088,DONE,codex-security,wave1-security,,,,
ISSUE-089,FIXED_PRE,,,,,,
ISSUE-090,DONE,codex-security,wave1-security,,,,
ISSUE-091,FALSE_ALARM,,,,,,
ISSUE-092,FALSE_ALARM,,,,,,
